id,symbol,name,volatility,price
1,A,"Agilent Technologies,Inc.",11.492,1594.51
2,ACC,American Campus Communities Inc,904,661
3,ADNT,Adient plc,17797,845
4,AGC,Altimeter Growth Corp.,6.798,466
5,ALC,Alcon Inc.,14.632,842
6,AMBA,"Ambarella, Inc.",74.677,480
7,AMX,"America Movil, S.A.B. de C.V.",9.78,2231.932
8,APP,AppLovin Corporation,23.874,1054.660
9,ARQQ,Arqit Quantum Inc.,77.236,784.391
10,ATER,"Aterian, Inc.",216.669,16945.391
11,AVLR,"Avalara, Inc.",17.956,563.699
12,AZPN,"Aspen Technology, Inc.",5.667,337.450
13,BCE,"BCE, Inc.",5.393,1055.893
14,BGS,"B&G Foods, Inc.",7.207,757.196
15,BKR,Baker Hughes Company,20.001,6942.843
16,BMY,Bristol-Myers Squibb Company,12.752,7638.023
17,BRKR,Bruker Corporation,12.57,570.761
18,BWXT,"BWX Technologies, Inc.",7.563,394.788
19,CALM,"Cal-Maine Foods, Inc.",6.615,290.301
20,CCEP,Coca-Cola European Partners plc,7.121,869.704
21,CELH,"Celsius Holdings, Inc.",44.11,874.099
22,CHKP,Check Point Software Technologies Ltd.,8.83,932.050
23,CLDX,"Celldex Therapeutics, Inc.",26.05,885.998
24,CNC,Centene Corporation,8.297,2962.012
25,COLM,Columbia Sportswear Company,5.358,302.789
26,CPT,Camden Property Trust,8.495,584.336
27,CSCO,"Cisco Systems, Inc.",7.649,14075.457
28,CVET,"Covetrus, Inc.",12.422,575.001
29,DAN,Dana Holding Corporation,12.726,814.775
30,DEI,"Douglas Emmett, Inc.",7.776,693.706
31,DLO,DLocal Limited ,33.851,1206.814
32,DOX,Amdocs Limited,2.889,454.565
33,DX,"Dynex Capital, Inc.",2.363,530.149
34,EFX,"Equifax, Inc.",11.095,532.798
35,ENVX,Enovix Corporation,28.613,832.886
36,ESI,Element Solutions Inc.,11.632,1218.492
37,EXAS,Exact Sciences Corporation,20.705,1274.310
38,FCF,First Commonwealth Financial Corporation,8.864,379.044
39,FL,"Foot Locker, Inc.",19.831,1843.279
40,FORM,"FormFactor, Inc.",20.47,346.814
41,FTV,Fortive Corporation,3.924,2370.494
42,GCMG,GCM Grosvenor Inc.,8.173,385.561
43,GLBE,Global-E Online Ltd.,26.3,1075.006
44,GOOGL,Alphabet Inc. - Class A,8.443,1190.312
45,GSBD,"Goldman Sachs BDC, Inc.",3.001,459.937
46,HASI,Hannon Armstrong Sustainable Infrastructure,12.109,352.717
47,HIMX,"Himax Technologies, Inc.",15.227,3705.143
48,HPQ,Hewlett-Packard Company,9.325,8526.705
49,HUT,Hut 8 Mining Corp.,79.004,6140.690
50,IDYA,"IDEAYA Biosciences, Inc.",24.477,315.988
51,INMB,INmune Bio Inc.,66.091,643.667
52,IPOF.U,"Social Capital Hedosophia Holdings Corp.",53.935,1128.786
53,J,Jacobs Engineering Group Inc.,3.935,476.935
54,JMIA,Jumia Technologies AG,23.846,4011.740
55,KL,Kirkland Lake Gold Ltd.,15.28,1479.694
56,KRG,Kite Realty Group Trust,14.228,806.939
57,LBRDK,Liberty Broadband Corporation - Class C,7.422,679.975
58,LHX,"L3Harris Technologies, Inc.",3.08,907.833
