id,symbol,price
1,A,158
2,ACCD,414
3,ADPT,538
4,AGFY,1211
5,ALEX,253
6,AMBP,363
7,AN,1114
8,APPS,3855
9,ARRY,3040
10,ATH,874
11,AVNT,331
12,BA,10474
13,BCEI,455
14,BHC,2167
15,BLD,257
16,BNS,1080
17,BRO,984
18,BXP,731
19,CAR,1571
20,CCK,908
21,CERE,2839
22,CHRS,579
23,CLSK,1544
24,CNNE,484
25,COOK,1003
26,CRCT,878
27,CSTM,1015
28,CVM,1893
29,DASH,2401
30,DENN,537
31,DLR,1033
32,DQ,2641
33,DXCM,581
34,EGHT,764
35,EOG,4643
36,ESNT,509
37,EXAS,1271
38,FBP,1517
39,FIVN,1786
40,FOCS,364
41,FTDR,398
42,GBDC,371
43,GILD,5459
44,GOGL,1019
45,GRWG,1751
46,HAL,8316
47,HGV,669
48,HOPE,671
49,HTLD,290
50,IBN,4940
51,INCY,1055
52,IPG,3843
53,IT,556
54,JELD,719
55,KEY,6875
56,KO,11448
57,LADR,491
58,LEVI,1814
59,LNC,1233
60,LSXMK,668
61,MAC,3015
62,MCK,966
63,MGY,1438
64,MNTS,547
65,MRVL,5251
66,MU,20256
67,NCTY,2585
68,NIO,52582
69,NOVN,663
70,NTST,368
71,NYT,1223
72,OLO,628
73,ORGO,690
74,PAAS,1810
75,PCRX,334
76,PFG,993
77,PLAN,1599
78,POR,486
79,PRVA,307
80,PXD,1780
81,RANI,501
82,REGI,752
83,RIO,2254
84,ROL,1070
85,RUN,4847
86,SAIL,808
87,SCS,407
88,SGHT,280
89,SJI,712
90,SMPL,366
91,SONY,550
92,SRE,1090
93,STNE,3204
94,SWI,593
95,TCS,529
96,TGP,282
97,TNDM,514
98,TROW,783
99,TTD,4597
100,TXN,3325
101,UMC,7404
102,VALE,23128
103,VIVO,404
104,VRSK,752
105,WAFD,352
106,WH,510
107,WRE,520
108,XOM,18429
109,ZBH,1378
